"Date.Time","Water.Level","I","L"
"2003-01-01 00:00",74.326,0,0
"2003-01-02 00:00",74.304,0,0
"2003-01-03 00:00",74.288,0,0
"2003-01-04 00:00",74.334,0,0
"2003-01-05 00:00",74.321,0,0
"2003-01-06 00:00",74.341,0,0
"2003-01-07 00:00",74.335,0,0
"2003-01-08 00:00",74.35,0,0
"2003-01-09 00:00",74.352,0,0
"2003-01-10 00:00",74.376,0,0
"2003-01-11 00:00",74.428,0,0
"2003-01-12 00:00",74.401,0,0
"2003-01-13 00:00",74.409,0,0
"2003-01-14 00:00",74.363,0,0
"2003-01-15 00:00",74.393,0,0
"2003-01-16 00:00",74.366,0,0
"2003-01-17 00:00",74.367,0,0
"2003-01-18 00:00",74.333,0,0
"2003-01-19 00:00",74.345,0,0
"2003-01-20 00:00",74.398,0,0
"2003-01-21 00:00",74.344,0,0
"2003-01-22 00:00",74.37,0,0
"2003-01-23 00:00",74.34,0,0
"2003-01-24 00:00",74.333,0,0
"2003-01-25 00:00",74.328,0,0
"2003-01-26 00:00",74.325,0,0
"2003-01-27 00:00",74.306,0,0
"2003-01-28 00:00",74.29,0,0
"2003-01-29 00:00",74.306,0,0
"2003-01-30 00:00",74.288,0,0
"2003-01-31 00:00",74.278,0,0
"2003-02-01 00:00",74.29,0,0
"2003-02-02 00:00",74.315,0,0
"2003-02-03 00:00",74.278,0,0
"2003-02-04 00:00",74.351,0,0
"2003-02-05 00:00",74.378,0,0
"2003-02-06 00:00",74.308,0,0
"2003-02-07 00:00",74.322,0,0
"2003-02-08 00:00",74.328,0,0
"2003-02-09 00:00",74.311,0,0
"2003-02-10 00:00",74.311,0,0
"2003-02-11 00:00",74.294,0,0
"2003-02-12 00:00",74.348,0,0
"2003-02-13 00:00",74.328,0,0
"2003-02-14 00:00",74.308,0,0
"2003-02-15 00:00",74.278,0,0
"2003-02-16 00:00",74.257,0,0
"2003-02-17 00:00",74.247,0,0
"2003-02-18 00:00",74.259,0,0
"2003-02-19 00:00",74.266,0,0
"2003-02-20 00:00",74.267,0,0
"2003-02-21 00:00",74.257,0,0
"2003-02-22 00:00",74.246,0,0
"2003-02-23 00:00",74.34,0,0
"2003-02-24 00:00",74.297,0,0
"2003-02-25 00:00",74.293,0,0
"2003-02-26 00:00",74.278,0,0
"2003-02-27 00:00",74.278,0,0
"2003-02-28 00:00",74.283,0,0
"2003-03-01 00:00",74.276,0,0
"2003-03-02 00:00",74.316,0,0
"2003-03-03 00:00",74.3,0,0
"2003-03-04 00:00",74.27,0,0
"2003-03-05 00:00",74.296,0,0
"2003-03-06 00:00",74.289,0,0
"2003-03-07 00:00",74.27,0,0
"2003-03-08 00:00",74.285,0,0
"2003-03-09 00:00",74.347,0,0
"2003-03-10 00:00",74.345,0,0
"2003-03-11 00:00",74.285,0,0
"2003-03-12 00:00",74.296,0,0
"2003-03-13 00:00",74.287,0,0
"2003-03-14 00:00",74.276,0,0
"2003-03-15 00:00",74.284,0,0
"2003-03-16 00:00",74.283,0,0
"2003-03-17 00:00",74.285,0,0
"2003-03-18 00:00",74.299,0,0
"2003-03-19 00:00",74.277,0,0
"2003-03-20 00:00",74.285,0,0
"2003-03-21 00:00",74.339,0,0
"2003-03-22 00:00",74.36,0,0
"2003-03-23 00:00",74.383,0,0
"2003-03-24 00:00",74.391,0,0
"2003-03-25 00:00",74.409,0,0
"2003-03-26 00:00",74.447,0,0
"2003-03-27 00:00",74.453,0,0
"2003-03-28 00:00",74.445,0,0
"2003-03-29 00:00",74.502,0,0
"2003-03-30 00:00",74.533,0,0
"2003-03-31 00:00",74.554,0,0
"2003-04-01 00:00",74.54,0,0
"2003-04-02 00:00",74.57,0,0
"2003-04-03 00:00",74.569,0,0
"2003-04-04 00:00",74.604,0,0
"2003-04-05 00:00",74.657,0,0
"2003-04-06 00:00",74.672,0,0
"2003-04-07 00:00",74.634,0,0
"2003-04-08 00:00",74.667,0,0
"2003-04-09 00:00",74.683,0,0
"2003-04-10 00:00",74.684,0,0
"2003-04-11 00:00",74.696,0,0
"2003-04-12 00:00",74.715,0,0
"2003-04-13 00:00",74.716,0,0
"2003-04-14 00:00",74.715,0,0
"2003-04-15 00:00",74.726,0,0
"2003-04-16 00:00",74.75,0,0
"2003-04-17 00:00",74.716,0,0
"2003-04-18 00:00",74.718,0,0
"2003-04-19 00:00",74.737,0,0
"2003-04-20 00:00",74.736,0,0
"2003-04-21 00:00",74.745,0,0
"2003-04-22 00:00",74.779,0,0
"2003-04-23 00:00",74.818,0,0
"2003-04-24 00:00",74.807,0,0
"2003-04-25 00:00",74.794,0,0
"2003-04-26 00:00",74.8,0,0
"2003-04-27 00:00",74.801,0,0
"2003-04-28 00:00",74.798,0,0
"2003-04-29 00:00",74.811,0,0
"2003-04-30 00:00",74.806,0,0
"2003-05-01 00:00",74.81,0,0
"2003-05-02 00:00",74.838,0,0
"2003-05-03 00:00",74.845,0,0
"2003-05-04 00:00",74.834,0,0
"2003-05-05 00:00",74.815,0,0
"2003-05-06 00:00",74.856,0,0
"2003-05-07 00:00",74.866,0,0
"2003-05-08 00:00",74.87,0,0
"2003-05-09 00:00",74.87,0,0
"2003-05-10 00:00",74.866,0,0
"2003-05-11 00:00",74.863,0,0
"2003-05-12 00:00",74.902,0,0
"2003-05-13 00:00",74.937,0,0
"2003-05-14 00:00",74.93,0,0
"2003-05-15 00:00",74.922,0,0
"2003-05-16 00:00",74.935,0,0
"2003-05-17 00:00",74.951,0,0
"2003-05-18 00:00",74.962,0,0
"2003-05-19 00:00",74.961,0,0
"2003-05-20 00:00",74.968,0,0
"2003-05-21 00:00",74.998,0,0
"2003-05-22 00:00",74.993,0,0
"2003-05-23 00:00",74.981,0,0
"2003-05-24 00:00",75.008,0,0
"2003-05-25 00:00",75.029,0,0
"2003-05-26 00:00",75.037,0,0
"2003-05-27 00:00",75.042,0,0
"2003-05-28 00:00",75.051,0,0
"2003-05-29 00:00",75.058,0,0
"2003-05-30 00:00",75.066,0,0
"2003-05-31 00:00",75.081,0,0
"2003-06-01 00:00",75.096,0,0
"2003-06-02 00:00",75.091,0,0
"2003-06-03 00:00",75.088,0,0
"2003-06-04 00:00",75.09,0,0
"2003-06-05 00:00",75.107,0,0
"2003-06-06 00:00",75.111,0,0
"2003-06-07 00:00",75.107,0,0
"2003-06-08 00:00",75.106,0,0
"2003-06-09 00:00",75.119,0,0
"2003-06-10 00:00",75.112,0,0
"2003-06-11 00:00",75.116,0,0
"2003-06-12 00:00",75.122,0,0
"2003-06-13 00:00",75.126,0,0
"2003-06-14 00:00",75.142,0,0
"2003-06-15 00:00",75.145,0,0
"2003-06-16 00:00",75.141,0,0
"2003-06-17 00:00",75.13,0,0
"2003-06-18 00:00",75.131,0,0
"2003-06-19 00:00",75.138,0,0
"2003-06-20 00:00",75.139,0,0
"2003-06-21 00:00",75.132,0,0
"2003-06-22 00:00",75.131,0,0
"2003-06-23 00:00",75.134,0,0
"2003-06-24 00:00",75.124,0,0
"2003-06-25 00:00",75.121,0,0
"2003-06-26 00:00",75.109,0,0
"2003-06-27 00:00",75.114,0,0
"2003-06-28 00:00",75.103,0,0
"2003-06-29 00:00",75.097,0,0
"2003-06-30 00:00",75.106,0,0
"2003-07-01 00:00",75.093,0,0
